recipe_name,prep(mins),cooking(mins),food type,Calories(kcal),Carbohydrates(g),Protein(g),Fat(g),Saturated Fat(g),Polyunsaturated Fat(g),Sodium(mg),Potassium(mg),Fiber(g),Sugar(g),Vitamin A(IU),Vitamin C(mg),Calcium(mg),Iron(mg),Serving(per g Calories),Cholesterol(mg),Trans Fat(g),source,Cluster
Filipino Style Fruit Salad,,,,412.425,53.815,3.55,23.2375,16.3375,0.8875,29.115,506.4375,6.6,46.8175,1380.59,16.0275,56.9,1.62,,50.85,2.22,RecipeDB,0
Biko With Latik,,,,654.6675,49.645,6.46,51.4775,44.815,0.885,50.7325,582.4725,4.6625,44.6275,67.8125,5.88,47.1125,3.8125,,46.5,0.01,RecipeDB,0
Avocado-Mascarpone Dream Cream Dessert Too,,,,82.6125,1.3775,0.71,8.6575,6.4675,0.175,7.63,58.93,0.37,1.0075,151.95,0.5625,13.05,0.28,,16.65,0.0,RecipeDB,0
Coconut Rice Dessert,,,,206.895,4.9825,2.0575,21.445,19.015,0.2325,13.4925,236.58,1.9775,3.0025,0.0,2.5175,14.3925,1.475,,0.0,0.0,RecipeDB,0
Braised Cabbage (Guisadong Repolyo),,,,848.01,13.8925,95.045,43.6575,16.1475,8.395,833.24,1522.37,3.525,5.2875,50604.59,124.9825,116.355,42.115,,1638.545,1.41,RecipeDB,0
Apple Rolls With Creamy Coffee Sauce (Turon De Mansanas),,,,712.32,54.8925,12.23,53.235,31.8875,7.215,307.1725,540.195,6.3875,38.6425,677.12,5.3925,214.73,3.1925,,54.0,0.0,RecipeDB,0
Authentic Sinigang,,,,1125.2625,157.89,45.6725,42.4175,14.49,4.745,3152.94,4266.525,70.86,51.1575,9505.195,406.31,1093.97,9.1025,,96.415,0.0,RecipeDB,0
Frugal Gourmet Chicken and Pork Adobo,,,,333.84,2.005,57.05,8.2425,1.5125,2.675,635.26,708.52,0.225,0.1,285.2875,1.325,355.435,4.2025,,141.665,0.0,RecipeDB,0
Filipino Crock Pot Adobo,,,,265.3375,10.5675,45.7925,3.2575,0.6575,1.51,525.825,606.43,0.6425,8.4325,228.64,2.61,296.835,3.37,,114.975,0.0,RecipeDB,0
Vegetable (With Shrimp and Ground Chicken) Egg Roll,,,,397.635,18.4575,42.7975,17.7775,4.9975,4.01,248.125,1124.735,6.7225,6.4325,10922.83,106.5575,144.63,3.96,,238.85,0.01,RecipeDB,0
Pinakurat Copycat (Spiced Coconut Vinegar),,,,170.495,25.23,5.3675,0.7875,0.0175,0.0125,7322.6725,672.71,2.005,19.31,2016.56,22.38,65.4025,2.3875,,0.0,0.0,RecipeDB,0
Sweet and Sour Dipping Sauce-Lumpia Dipping Sauce,,,,109.485,27.2725,0.0525,0.0025,0.0,0.0,1.6575,10.39,0.0325,25.0525,0.0675,0.2325,7.39,0.115,,0.0,0.0,RecipeDB,0
Ginataang Mais (Corn in Coco Milk),,,,743.7025,52.555,10.2225,58.7775,51.0,0.835,215.5025,746.295,9.865,14.075,82.485,6.72,57.8175,4.9825,,1.95,0.0,RecipeDB,0
Salted Eggs (Itlog Na Maalat),,,,197.6425,1.015,15.74,13.9425,4.26,3.4925,221.56,178.395,0.0,0.5425,676.2725,0.02,106.285,2.1975,,466.64,0.19,RecipeDB,0
Fiesta Lengua (Tongue),,,,366.58,20.865,46.6475,9.8325,2.13,2.6375,378.9475,860.27,1.7025,8.8125,677.63,14.7975,292.6175,3.79,,113.57,0.0,RecipeDB,0
Popular Filipino Adobo,,,,421.575,5.515,75.845,8.4625,2.6175,1.37,1371.275,1300.45,1.115,1.8825,179.54,3.95,179.255,4.1675,,192.665,0.13,RecipeDB,0
Monay Putok,,,,101483.6425,22200.09,1653.3975,402.0525,108.4425,108.37,425.9875,21349.3075,665.725,71.105,146.305,0.09,2859.0575,98.0425,,81.9925,0.03,RecipeDB,0
Lina's Lumpia,,,,1109.5825,7.5025,54.4425,94.1,34.2925,9.27,196.4075,1070.845,1.62,3.2325,5365.055,6.4175,80.305,4.0375,,238.1375,3.4,RecipeDB,0
Ensaymada,,,,202.355,11.0925,8.345,14.6,3.035,4.9825,167.95,145.4475,3.3,2.3075,264.755,0.0,115.9075,1.3675,,185.7025,0.01,RecipeDB,0
Fresh Vegetable Lumpia,,,,5879.715,1014.465,336.055,115.64,18.2275,61.03,1382.7325,24723.9175,502.0625,338.02,30020.3475,3154.225,10722.835,112.2775,,0.0,0.05,RecipeDB,0
Siopao (Filipino Steamed Buns),,,,1592.27,249.2075,25.8125,53.6675,14.6575,11.1925,1252.175,404.0175,6.405,54.5025,1641.97,4.7625,466.995,2.325,,118.9125,1.03,RecipeDB,0
Easy Filipino Pork or Chicken Adobo,,,,16.8925,1.57,2.5925,0.18,0.0225,0.0825,1750.8925,138.655,0.255,0.1275,0.0,0.0,10.5175,0.46,,0.0,0.0,RecipeDB,0
Vegan Pochero,,,,3659.205,444.3825,312.265,123.1,18.7925,65.6575,1437.0225,14772.145,200.37,220.295,12027.42,2482.0475,11488.2825,67.045,,0.0,0.05,RecipeDB,0
Turon (Sweet Fried Banana Spring Rolls),,,,780.2725,86.56,3.6325,51.975,32.12,2.0775,12.4775,1342.4225,6.175,40.8325,4598.8575,49.4025,11.6125,1.6125,,131.2,0.0,RecipeDB,0
Octopus Kilawen,,,,520.74,3.3975,112.9775,3.105,0.7475,1.0425,401.935,1495.4925,0.975,2.04,1203.76,12.5425,740.6525,8.495,,283.3325,0.0,RecipeDB,0
Pochero,,,,698.285,52.4875,44.33,36.8375,15.48,5.245,174.57,1260.29,10.935,17.9625,7005.19,57.715,209.175,5.0575,,135.05,0.72,RecipeDB,0
Easy to make Yema,,,,453.575,59.2725,5.7975,21.7625,14.97,1.845,25.5975,326.5675,2.0625,52.7775,309.3125,5.3725,64.4075,2.0075,,230.5625,0.0,RecipeDB,0
Chicken or Pork Adobo,,,,1514.5475,4.5,33.99,150.5425,41.1575,30.905,1053.6725,504.9525,0.1725,0.2125,666.2175,0.7025,31.8675,1.585,,356.8725,3.11,RecipeDB,0
Filipino Chicken Adobo Lovers,,,,556.3075,1.055,51.3975,36.55,10.035,7.1375,1405.795,622.97,0.17,0.0925,82.2125,0.0,39.385,1.6175,,314.68,0.69,RecipeDB,0
Mango Cream Cake,,,,171.0,7.855,5.3425,14.4,2.015,6.31,22.2,124.2,2.79,0.0,20.1,0.0,126.0,0.7525,,0.0,0.0,RecipeDB,0
Menudo,,,,162.9575,19.0525,5.355,8.38,6.48,0.62,14.595,466.37,4.315,6.4,780.36,16.88,33.9225,1.555,,0.0,0.0,RecipeDB,0
Crema De Fruita -- Filipino Trifle,,,,586.675,106.1975,12.335,13.15,4.21,3.08,207.7025,410.135,3.7725,69.44,1015.5375,4.465,226.1125,2.09,,283.55,0.03,RecipeDB,0
Pan De Sal - Filipino Bread Rolls,,,,858.0675,132.89,22.695,26.765,14.6675,5.335,44.1225,396.9975,6.35,27.52,82.8025,1.68,118.93,2.9975,,46.5,0.01,RecipeDB,0
Pineapple Chunk Salad,,,,188.81,48.245,1.2,0.2875,0.0325,0.11,26.3775,325.37,3.045,44.1425,5428.345,17.315,31.67,0.915,,0.0,0.0,RecipeDB,0
Filipino Poorman's Steak (Bistek a La Pobre),,,,104.045,4.3725,0.9575,9.67,5.9775,0.3925,557.885,71.045,0.5225,2.57,304.695,2.9575,12.0425,0.3075,,24.575,0.0,RecipeDB,0
Rice Cakes,,,,257.2725,8.9875,9.085,21.5375,7.3925,5.565,79.1,208.49,2.0925,3.1725,445.31,0.0,180.6475,1.02,,115.4825,0.03,RecipeDB,0
Taisan De Pampanga : Butter-Cheese Loaf,,,,711.9475,71.195,22.8975,37.7125,7.11,15.42,515.84,411.85,3.86,13.835,511.295,5.9,388.26,6.535,,368.9,0.0,RecipeDB,0
Camaron Rebosado Filipino Fried Shrimp,,,,214.275,18.01,27.2175,3.3575,1.04,0.7325,172.1575,353.72,0.49,0.305,141.075,0.0,92.785,1.105,,275.84,0.05,RecipeDB,0
Fresh Lumpia,,,,209.9675,39.79,5.53,2.9275,0.915,0.615,252.6825,234.215,4.035,3.52,2610.6775,15.9225,57.935,1.135,,93.4725,0.03,RecipeDB,0
Instant Salabat (Ginger Tea),,,,507.5,102.125,14.175,6.675,1.47,0.385,938.685,1037.5,20.5,29.25,0.0,12.5,123.425,4.275,,10.0,0.0,RecipeDB,0
Sorbetes (Filipino 'dirty' Ice Cream),,,,612.53,106.39,2.0625,21.455,19.025,0.235,16.59,266.01,1.985,103.1875,0.0,2.52,26.5325,1.8525,,0.0,0.0,RecipeDB,0
Bacon Fried Rice With a Side of Tomatoes in Fish Sauce...,,,,87.535,7.3375,5.485,4.3775,1.065,1.355,491.985,268.2,1.725,2.5725,3187.925,11.7875,54.02,1.015,,93.0,0.03,RecipeDB,0
Lumpia (Filipino Egg Roll),,,,410.6275,13.8075,23.03,28.735,10.56,2.845,1004.295,601.7575,2.055,2.6725,6242.9,5.275,63.4875,2.2675,,123.61,1.72,RecipeDB,0
Baked Rice Custard,,,,654.7275,78.4075,11.7725,34.3275,26.89,1.9125,78.425,521.87,4.0025,35.4825,205.0125,3.69,77.51,4.99,,139.5,0.05,RecipeDB,0
Filipino Fried Banana,,,,883.5625,147.66,13.775,33.125,26.8075,1.3325,181.53,2080.7225,17.1075,59.61,425.125,42.445,133.9625,5.245,,93.0,0.03,RecipeDB,0
Cassava Cake,,,,1205.4,142.81,18.5025,66.215,54.845,1.9825,210.87,1336.0175,10.1425,48.4475,415.8375,51.7575,106.1325,5.6075,,277.8375,0.05,RecipeDB,0
Kare-Kare (Oxtail and Vegetables in Peanut Sauce),,,,1067.27,27.5825,115.995,57.7225,13.5375,14.5275,796.825,1936.575,8.4925,9.7475,456.98,25.38,661.9925,8.785,,226.665,0.0,RecipeDB,0
Filipino Lumpia ( Egg Roll ) With Sweet & Sour Sauce,,,,983.115,30.3275,34.7875,79.95,28.305,8.8,577.435,1113.3775,4.045,23.01,8308.2725,12.8475,111.77,2.6025,,167.83,0.0,RecipeDB,0
Palitaw,,,,587.535,124.7175,5.365,7.0675,5.9125,0.345,63.2625,151.3975,3.9975,57.995,0.0,0.0,22.2225,0.7825,,0.0,0.0,RecipeDB,0
Peanut Squares - Philippine,,,,335.61,33.2725,10.8575,19.4675,3.145,5.7675,27.0,325.0375,3.1025,29.0775,74.115,0.0,88.3075,1.7775,,4.575,0.0,RecipeDB,0
Maja Blanca (Filipino White Pudding),,,,508.5075,49.495,3.455,35.3125,31.3075,0.39,24.79,394.6025,4.5825,30.2975,0.0,4.02,28.3125,2.6225,,0.0,0.0,RecipeDB,0
Banana Mango Lumpia,,,,300.375,77.085,3.6775,1.1125,0.3775,0.245,3.375,1208.25,8.775,41.275,216.0,29.3625,16.875,0.8775,,0.0,0.0,RecipeDB,0
Tasty Filipino Pandesal,,,,958.6925,143.375,22.6275,32.3275,23.385,2.095,40.695,204.51,3.9025,25.64,138.2525,0.0,47.3575,1.995,,93.0,0.03,RecipeDB,0
Ginataan (Sweet Potatoes in Coconut Milk),,,,379.0225,43.5425,2.885,23.84,21.0375,0.3,18.5725,469.6525,3.645,35.2375,36.0,7.67,33.5675,1.865,,0.0,0.0,RecipeDB,0
Filipino Style Spaghetti,,,,427.54,40.93,53.0625,5.4525,1.9475,0.905,582.5525,1003.65,4.7275,13.73,5752.36,14.7475,166.55,5.815,,115.8875,0.51,RecipeDB,0
Sweet and Creamy Thai Iced Tea,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.295,0.0,0.0,0.0,0.0,0.0,41.475,0.0,,0.0,0.0,RecipeDB,0
Anna's Lumpia,,,,882.395,2.835,33.41,80.7775,28.615,8.875,124.0775,659.9275,0.66,1.35,2633.5825,2.8225,58.285,1.8575,,214.33,0.01,RecipeDB,0
Polvoron With Cashews (Filipino Shortbread),,,,543.495,66.1125,10.685,28.8,4.0325,12.6225,45.915,263.045,5.58,50.09,40.2,0.0,258.06,1.6925,,0.0,0.0,RecipeDB,0
Banana Loaf,,,,1017.04,141.95,14.1475,45.44,5.68,24.4025,374.74,550.215,6.985,61.1,211.74,7.6975,158.385,1.8825,,93.0,0.03,RecipeDB,0
Crusty Pan De Sal,,,,504.69,37.7225,40.595,24.915,3.935,13.075,141.6875,2720.5,10.3225,11.355,126.0,0.0,225.15,6.8525,,0.0,0.0,RecipeDB,0
Bicol Express,,,,427.7,9.825,16.0625,37.9975,27.315,1.9875,67.955,433.08,2.3425,4.685,230.6325,51.0425,52.5375,1.8875,,47.6,0.36,RecipeDB,0
Tocino (Version 5),,,,744.5325,79.0675,77.1125,11.5925,3.655,1.6725,420.9775,1389.1675,0.21,78.035,2.1025,0.31,64.9225,3.5675,,204.0,0.2,RecipeDB,0
Filipino Flan,,,,546.6925,60.665,7.73,32.6775,24.2225,1.6875,46.75,371.165,2.1825,56.865,490.28,2.7775,106.125,2.945,,368.9,0.0,RecipeDB,0
Buchi,,,,614.82,60.5725,6.5275,40.095,11.1825,11.2525,30.795,196.955,3.49,51.7,28.29,5.1475,160.83,1.2925,,14.35,0.0,RecipeDB,0
Kilawin Na Tanigue,,,,3014.69,59.3525,30.8925,0.915,0.2175,0.3175,1010.9625,1410.5125,13.895,30.885,139.3175,40.9375,1133.1,9.1925,,62.5,0.0,RecipeDB,0
Lumpia,,,,736.44,8.9175,40.2275,59.23,23.185,5.1875,1025.145,870.9525,2.0,2.8125,5509.1425,4.405,64.5,3.6725,,166.51,3.4,RecipeDB,0
Mamon (Filipino Sponge Cake),,,,665.1975,78.1675,12.2275,34.6775,24.595,1.9975,230.0675,265.995,0.585,50.415,405.0,0.0,115.0425,4.0,,279.0,0.11,RecipeDB,0
Kinilaw Na Tanigue (Filipino Version of Ceviche),,,,333.3375,18.395,49.425,5.6425,1.3775,2.115,188.83,1421.8475,4.3725,9.635,2785.65,50.5225,81.0475,1.765,,102.44,0.0,RecipeDB,0
Sweet Rice Cake (Bibingkang Malagkit),,,,1298.7425,200.2275,16.9725,50.585,39.91,2.7525,58.2475,917.075,9.48,84.125,68.3925,5.04,121.7075,5.1525,,4.065,0.0,RecipeDB,0
Mango Float Dessert,,,,1710.0,273.07,24.735,60.98,25.1725,17.9125,1466.4,973.8,14.34,103.6325,2453.1,61.59,297.6,12.9525,,50.85,2.91,RecipeDB,0
Buko Salad,,,,292.1725,27.66,3.1775,21.5775,19.0325,0.2875,24.1525,487.0825,4.6425,23.0175,666.2275,8.115,27.715,2.14,,0.0,0.0,RecipeDB,0
Banana Lumpia,,,,400.5,102.78,4.905,1.485,0.5025,0.3275,4.5,1611.0,11.7,55.035,288.0,39.15,22.5,1.17,,0.0,0.0,RecipeDB,0
Peanut Butter Marinade for Chicken,,,,88.0475,3.755,0.9825,7.735,4.175,0.6225,160.3025,53.9325,0.395,2.585,199.6275,0.2325,10.5175,0.195,,16.3825,0.0,RecipeDB,0
Chicken Curry Ala Pinoy,,,,571.4375,6.68,22.52,51.81,31.9675,4.5025,1505.835,533.5125,2.3475,3.73,1350.4875,5.4825,37.405,3.385,,130.2325,0.0,RecipeDB,0
Paksiw Na Pata (Braised Pork Hocks),,,,270.87,37.345,4.5325,11.55,8.5375,0.855,2825.805,486.8175,0.9425,30.085,15.1675,5.6825,76.0125,2.0575,,0.82,0.0,RecipeDB,0
Puto Rice Muffins,,,,550.1225,61.0475,3.4125,35.305,31.3075,0.385,389.215,402.135,4.445,55.3425,0.0,4.02,230.78,3.02,,0.0,0.0,RecipeDB,0
CHICKEN SOTANGHON SOUP,,,,512.1425,34.4525,40.7625,22.545,7.3975,4.0,3559.455,1136.715,1.55,4.495,3459.165,4.765,71.8625,3.39,,138.4725,0.27,RecipeDB,0
Stuffed Boneless Chicken,,,,1008.53,63.77,50.1675,63.8075,18.38,13.4875,853.8825,1248.6725,5.88,40.885,1044.54,11.495,206.925,4.9875,,278.3475,0.03,RecipeDB,0
Avocado- Mascarpone Dream Cream Dessert,,,,99.15,3.835,1.0825,9.6025,3.8325,0.765,6.3,208.875,2.6775,0.72,130.725,4.005,10.875,0.33,,8.325,0.0,RecipeDB,0
Sinigang Soup,,,,555.195,15.0,2.0825,57.105,44.78,2.18,39.84,399.65,2.71,3.4075,9377.9875,19.155,108.49,0.74,,0.0,0.0,RecipeDB,0
Pastillas De Leche,,,,315.975,14.1475,3.9975,29.23,25.4925,0.3125,135.65,315.6,4.655,7.2575,0.0,3.36,29.275,2.3275,,1.3,0.0,RecipeDB,0
Quick and Easy Pancit,,,,90.6875,17.7325,3.095,1.5875,1.0,0.2225,965.7925,549.3975,4.5,7.9025,21385.1675,12.3825,61.345,0.75,,0.0,0.0,RecipeDB,0
Bibingkang Malagkit,,,,1153.7475,167.1375,12.425,51.8975,42.9825,2.2825,50.2325,684.0475,7.2475,82.915,5.025,5.04,116.905,5.39,,0.0,0.0,RecipeDB,0
Budget Easy Spareribs,,,,379.995,16.47,18.345,26.6075,8.545,4.52,630.1425,435.3725,0.5525,9.5125,295.235,4.2325,32.2375,1.3125,,90.665,1.0,RecipeDB,0
MECHADO FILIPINO BEEF STEW,,,,298.615,22.1025,8.405,20.0875,4.525,3.46,707.025,522.97,3.805,7.205,11071.8275,7.2925,56.8875,4.47,,22.1125,0.16,RecipeDB,0
Honey Bagoong Chicken Wings,,,,1732.7225,0.0,158.9375,116.5725,32.0675,22.66,762.11,1696.435,0.0,0.0,263.0825,0.0,100.16,4.1725,,1006.975,2.21,RecipeDB,0
Polvoron,,,,331.72,13.165,2.8175,30.7875,11.2375,5.97,446.9,90.7425,3.6825,5.875,1008.7125,0.895,28.3725,1.0325,,1.95,0.0,RecipeDB,0
Eggnog Cake With Lemon Frosting!!!,,,,669.695,108.7,16.465,20.105,4.1925,7.3475,340.825,314.2525,3.905,52.8975,297.68,4.4325,343.985,6.105,,144.075,0.05,RecipeDB,0
Lumpia (philippine Egg Rolls from Scratch),,,,960.55,138.755,27.7675,32.375,11.2275,3.975,283.685,1087.6325,6.0775,30.2925,2233.61,18.8875,131.0975,2.285,,107.56,0.02,RecipeDB,0
Cassava With Pecan and Coconut Jelly Toppings,,,,247.7425,11.8225,2.74,22.5725,19.42,0.4125,17.47,250.9675,1.9775,9.6425,61.285,2.5175,25.535,1.6375,,46.1125,0.0,RecipeDB,0
Filipino Pork & Noodle Soup,,,,381.5675,5.1575,21.71,30.155,12.2175,3.215,1828.77,659.565,0.6725,1.76,277.0225,2.08,48.68,1.9025,,108.245,0.01,RecipeDB,0
Refreshing Far East Fruit Salad,,,,973.0525,30.6025,68.66,67.085,27.0475,1.8775,238.9825,1222.69,9.6525,18.3075,839.29,61.345,463.215,7.56,,205.7825,0.0,RecipeDB,0
Beef Steak,,,,149.195,5.315,1.4625,13.755,1.7975,7.4875,660.3875,97.85,0.6675,1.005,3.84,3.1875,13.68,0.295,,0.0,0.0,RecipeDB,0
Steamed Mamon (Filipino Sponge Cake),,,,278.5775,53.215,5.67,4.5625,1.74,0.775,434.265,108.8975,0.005,51.9025,251.91,0.0,267.325,1.2325,,142.55,0.05,RecipeDB,0
Pineapple - Lemon Punch,,,,290.8475,58.5425,2.65,5.96,3.245,0.2875,31.21,388.6925,0.8575,49.88,266.305,42.7,86.8475,0.795,,39.13,0.0,RecipeDB,0
Green Mango Shake,,,,313.5,80.9225,0.0975,0.0,0.0,0.0,26.655,109.725,0.0,80.04,0.0,0.0,86.25,0.585,,0.0,0.0,RecipeDB,0
Chicken Soy Sauce With Onion,,,,4029.6625,15.675,89.4025,400.9225,109.6925,82.115,1632.8175,1287.3775,1.53,3.475,1777.36,5.92,81.2525,3.8275,,951.3,8.29,RecipeDB,0
Budbud Kabog Recipe,,,,819.82,143.7025,13.015,22.0625,17.55,2.275,187.8225,436.12,14.81,60.995,0.0,0.0,19.5575,4.1125,,0.0,0.0,RecipeDB,0
Cassava Cake With Shredded Buco,,,,902.575,66.36,20.0325,66.17,50.935,3.3875,582.21,830.165,16.7225,20.4175,349.22,16.2925,142.29,6.5525,,237.5,0.09,RecipeDB,0
Chicken Adobo in Coconut Milk,,,,494.18,13.445,24.895,39.23,24.055,4.13,1845.4975,659.1325,2.645,5.445,959.6925,9.215,63.735,3.7775,,97.465,0.0,RecipeDB,0
Shortcut Filipino Banana Lumpia,,,,52.25,13.485,0.015,0.0,0.0,0.0,3.85,18.2875,0.0,13.34,0.0,0.0,11.4125,0.0975,,0.0,0.0,RecipeDB,0
Mais Con Hielo,,,,627.47,61.3275,6.4925,43.89,38.2875,0.8225,39.01,680.1325,5.41,48.1175,135.575,9.97,34.795,3.4675,,0.0,0.0,RecipeDB,0
Filipino Pan De Sal,,,,676.65,96.9,17.9125,24.2025,14.9125,2.915,113.585,310.2325,3.99,14.9625,389.4025,1.6925,43.925,2.47,,93.0,0.03,RecipeDB,0
Lumpiang Shanghai (Filipino Spring Rolls),,,,287.165,4.5325,14.255,23.275,8.1975,2.6675,1001.1575,333.6725,0.6375,2.35,1754.715,6.7375,50.8125,1.16,,115.5575,0.02,RecipeDB,0
Original Leche Flan - Philippines,,,,619.18,60.54,12.07,36.975,25.025,2.4975,67.195,392.145,1.9775,56.8725,834.24,2.5175,161.455,3.075,,559.45,0.0,RecipeDB,0
Purple Yam Two-Tone Bread,,,,11843.6725,2282.3125,312.8275,149.5375,58.1625,31.9175,1767.245,5714.16,46.525,1030.7675,4840.9875,0.0,4934.04,23.7525,,805.125,0.22,RecipeDB,0
Filipino Pork Barbecue,,,,945.1825,20.6325,34.46,79.8,28.2475,8.725,2096.7525,785.4825,0.435,16.6875,21.54,5.6325,74.145,2.275,,167.83,0.0,RecipeDB,0
"Lenguas De Gato (""Cat's Tongues"" Cookies)",,,,389.5775,46.795,13.995,17.695,2.485,8.1475,66.435,571.97,4.3,34.8825,39.0,0.0,164.3325,1.9,,0.0,0.0,RecipeDB,0
Authentic Guava Sinigang,,,,690.825,64.7875,16.65,39.92,14.135,4.365,3048.615,472.5775,30.8675,32.6575,530.6425,118.81,39.925,1.01,,84.04,0.0,RecipeDB,0
Filipino Adobo,,,,219.4975,1.6125,45.18,1.1625,0.295,0.3975,157.2875,543.3875,0.16,0.0675,228.62,1.325,285.9275,3.29,,113.3325,0.0,RecipeDB,0
Siopao,,,,1701.755,250.245,35.3275,60.8075,17.0025,12.63,1358.93,513.5325,6.4375,54.795,2047.105,5.23,511.71,3.665,,397.9125,1.15,RecipeDB,0
Pancit Canton,,,,805.2125,20.87,70.7075,47.42,14.5675,9.765,944.97,1204.4875,4.2925,8.4925,12000.425,20.1825,183.0175,3.8775,,363.6175,1.18,RecipeDB,0
Filipino Chicken Afritada,,,,3725.59,665.7025,249.55,18.715,3.305,8.7625,256.7875,11517.7125,260.5525,261.5425,40529.4975,1852.6375,1168.0175,67.5025,,0.0,0.0,RecipeDB,0
Siopao Pinoy Style Dim Sum,,,,1840.26,51.17,35.0225,168.7975,43.0325,68.735,1665.4825,981.6525,5.4975,35.11,1069.1725,23.98,336.725,4.6975,,109.515,0.72,RecipeDB,0
Coconut Cream Pudding,,,,615.645,48.27,15.515,42.4675,30.7325,3.445,105.2025,541.0975,3.05,38.3525,377.415,2.52,90.3375,3.3625,,276.675,0.0,RecipeDB,0
Lumpia -Build Your Own,,,,144.09,3.4125,25.8725,2.3375,0.8475,0.5,60.295,461.0875,0.6125,0.8475,0.4,2.145,12.9875,3.7175,,107.73,0.0,RecipeDB,0
Meatloaf Manila Style,,,,384.3175,4.9575,36.1925,24.27,8.6425,2.57,259.795,612.41,0.7275,1.305,273.7525,3.435,36.2375,2.915,,150.79,0.53,RecipeDB,0
Baked Lumpia Rolls,,,,479.95,7.835,19.19,41.185,14.555,4.635,224.755,633.8025,2.1125,3.62,2635.73,5.8475,51.1875,1.415,,130.415,0.01,RecipeDB,0
Chicken Macaroni Salad,,,,104928.64,47.9125,113.9725,11603.9325,1558.54,1162.555,232391.915,9369.63,2.9725,33.4175,20581.7825,11.27,50.92,1.8575,,9709.5,0.05,RecipeDB,3
Filipino Sinigang (Tamarind Soup),,,,361.39,7.7125,70.2175,3.7825,1.735,0.6675,281.295,988.0475,0.8275,4.66,591.0775,6.7825,586.405,4.98,,177.9625,0.0,RecipeDB,0
Shortcut Filipino-Style Ensaymada Especial,,,,26.37,1.9175,0.8225,1.8775,0.2675,0.7875,17.48,15.525,0.6,0.405,2.5125,0.0,17.0075,0.1375,,0.1625,0.0,RecipeDB,0
Heavenly Chocomallows,,,,8378.815,1663.96,126.405,192.9975,51.425,68.7075,7133.62,3112.2475,157.39,913.6875,32167.96,945.0,1952.8275,290.9675,,0.0,0.0,RecipeDB,0
Filipino-Baked Fish,,,,148.85,6.7875,1.075,13.695,1.9025,1.4975,7.7,194.4225,1.6275,3.3975,1030.21,30.835,16.34,0.725,,0.0,0.0,RecipeDB,0
Golden Banana Rolls,,,,534.8525,54.075,0.2625,36.84,18.2225,3.8925,150.06,80.3525,0.0,53.36,1290.7875,0.0275,56.83,0.39,,65.6,0.0,RecipeDB,0
Creamy Filipino Kababayan,,,,1581.93,151.6275,30.1375,99.7575,67.815,11.1775,787.4925,1349.1375,17.415,17.2125,31.52,5.555,480.085,11.5925,,3.9,0.0,RecipeDB,0
Pork and Boiled Egg Adobo,,,,467.5175,6.0075,18.9425,40.0075,14.155,4.405,1921.865,517.7275,1.08,2.0,13.195,3.42,58.3975,1.455,,83.915,0.0,RecipeDB,0
Mung Bean Hopia - Filipino Chinese Pastry,,,,428.0725,50.4875,21.205,15.3075,1.52,4.24,87.1425,259.9775,0.0,50.135,166.665,0.0,132.2975,1.7925,,96.0825,0.23,RecipeDB,0
Filipino Pork Adobo,,,,322.945,16.5325,56.075,2.885,0.77,0.8375,3656.9125,1123.4425,2.255,5.6325,235.6475,9.24,335.2575,4.8625,,114.5925,0.0,RecipeDB,0
Filipino Fish Cakes,,,,172.88,18.795,9.025,7.27,1.27,3.6,796.735,430.3675,3.13,4.9175,11820.455,7.4925,44.9625,0.805,,20.9775,0.25,RecipeDB,0
Chicken Breasts Stuffed With Crab (Pinag-Isang Manok),,,,570.245,18.5375,6.8875,56.2625,46.3275,2.2525,36.9575,615.21,5.475,5.7325,107.745,9.43,72.74,3.695,,8.19,0.0,RecipeDB,0
Pancit,,,,212.8525,4.5875,32.1025,6.6675,1.6925,1.82,3652.845,955.375,0.1575,1.62,56.8,0.4675,101.3,2.8575,,32.7425,0.0,RecipeDB,0
Lechon Kawali (Crispy Pan-Fried Roasted Pork),,,,898.8025,1.05,16.925,90.9275,33.005,10.01,726.9675,385.4525,0.11,0.155,17.5,0.75,15.37,1.11,,123.0175,0.0,RecipeDB,0
Filipino Adobo (Pork or Chicken) With Slow Cooker Variation,,,,47.845,4.77,2.9675,1.5925,0.275,0.8275,1779.39,210.275,0.83,1.47,3.7575,2.0475,27.26,0.6275,,1.0925,0.0,RecipeDB,0
Beef Caldereta,,,,588.38,57.0775,48.695,19.1,10.8725,0.75,54860.7875,1554.0075,2.7975,45.945,5847.86,17.31,350.6725,6.4875,,34.3825,0.0,RecipeDB,0
Chicken Pork Adobo (Philippines),,,,105.995,6.2975,8.3775,5.11,1.7775,0.84,1114.0325,335.82,0.205,2.29,21.375,3.9325,54.22,1.7225,,23.8,0.18,RecipeDB,0
Chicken Adobo,,,,57.1075,7.2425,3.895,1.4375,0.21,0.245,2338.7425,257.7125,1.0975,2.9575,99.25,2.955,27.3,0.8425,,0.0,0.0,RecipeDB,0
KARI-KARE (Meat and Vegetable Stew in Peanut Sauce),,,,826.34,10.93,89.6975,47.6275,13.6375,6.52,4194.255,490.025,2.0025,2.635,440.0,4.0275,160.55,5.7525,,375.4325,1.76,RecipeDB,0
