recipe_name,prep(mins),cooking(mins),food type,Calories(kcal),Carbohydrates(g),Protein(g),Fat(g),Saturated Fat(g),Polyunsaturated Fat(g),Sodium(mg),Potassium(mg),Fiber(g),Sugar(g),Vitamin A(IU),Vitamin C(mg),Calcium(mg),Iron(mg),Serving(per g Calories),Cholesterol(mg),Trans Fat(g),source,Cluster
Sinigang na Isda sa Miso (Fish Stew with Miso),30.0,20.0,,392.5175,28.015,51.45,9.31,6.045,1.15,654.75,1453.71,5.285,14.0475,3157.7425,427.9775,359.16,5.9375,,113.3325,0.0,RecipeDB,0
Guinataan Sitaw and Kalabasa (String Beans and Squash Stew),20.0,30.0,,377.585,18.2875,16.4825,29.18,25.5125,0.5425,64.935,743.6025,6.38,9.4,839.9125,20.1525,137.2225,4.0125,,28.3325,0.0,RecipeDB,0
Corn Soup,15.0,30.0,,375.9825,31.695,25.765,18.045,5.2875,2.7375,1618.965,997.59,3.3575,11.0125,298.695,12.34,65.8725,2.47,,37.665,0.0,RecipeDB,0
Prawns in Peanut Soup,15.0,30.0,,427.6975,13.4125,56.9175,16.0325,3.4025,2.94,435.5625,947.9025,3.2,7.21,703.29,10.6275,419.7175,4.5575,,134.87,0.0,RecipeDB,0
Kare Kare Pata (Oxtail Stew),20.0,150.0,,667.865,15.12,109.335,17.5725,3.76,3.51,620.5825,1651.985,3.37,7.3625,581.2425,26.9,720.455,8.1375,,262.37,0.0,RecipeDB,0
Filipino Oxtail Stew,15.0,140.0,,576.7825,12.0975,32.1725,43.97,17.155,2.5025,346.4125,680.6875,2.595,6.5275,393.68,10.16,51.16,3.9925,,125.8725,0.02,RecipeDB,0
Mongo Guisado (Mung Bean Soup),20.0,60.0,,243.175,12.2875,24.585,11.34,2.32,1.53,1257.4125,891.21,3.6475,5.68,6880.3525,17.145,153.375,3.1075,,35.04,0.07,RecipeDB,0
Chicken Sotanghon,25.0,30.0,,427.56,10.575,28.94,30.32,6.9075,5.3875,1664.3125,750.81,1.5275,3.965,1526.875,30.375,73.39,2.2775,,106.925,0.27,RecipeDB,0
Goat Stew,30.0,70.0,,350.48,23.845,37.3975,11.26,5.4575,1.265,1994.8525,1019.925,3.865,8.785,11088.495,15.95,76.61,5.94,,92.56,0.0,RecipeDB,0
Filipino-Style Congee (Lugaw),25.0,51.0,,821.3725,75.07,54.245,31.81,14.5175,4.7775,507.6,640.09,1.395,0.58,218.79,1.03,85.9575,5.7625,,145.1475,0.95,RecipeDB,0
Paksiw na Pata (Pig's Feet Stew),10.0,70.0,,388.325,9.26,75.195,2.01,0.5,0.6925,1425.8725,1069.51,0.88,5.2975,369.2675,3.4275,468.7525,5.755,,184.165,0.0,RecipeDB,0
Ham Hocks with Lima Beans,15.0,35.0,,101.2,21.86,5.0275,0.5975,0.1075,0.285,17.5675,680.935,4.3,9.045,1764.7775,288.5025,61.4025,2.445,,0.0,0.0,RecipeDB,0
Fish Sinigang (Tilapia) - Filipino Sour Broth Dish,5.0,10.0,,66.7675,3.515,11.9875,0.44,0.0975,0.165,56.6125,348.6875,1.225,2.2375,585.865,14.9625,98.26,1.0725,,28.3325,0.0,RecipeDB,0
Pork Sinigang,15.0,60.0,,259.135,47.135,7.93,4.88,3.475,0.12,1054.3725,145.185,4.5475,7.9525,391.5725,8.21,48.7025,0.62,,6.8025,0.0,RecipeDB,0
Purple Yam Jam,5.0,80.0,,394.0175,8.945,27.17,29.21,20.1675,3.5825,101.6825,559.735,3.3725,3.0375,123.3825,2.5175,211.155,3.4375,,56.665,0.0,RecipeDB,0
Chinky's Puto Bread,10.0,15.0,,1003.7675,120.1975,9.95,55.52,16.6275,12.6025,1306.43,211.6425,1.8375,63.68,2152.4275,0.9525,457.3025,6.735,,93.0,0.03,RecipeDB,0
Melon Chiller,,,,402.045,103.59,0.37,0.0825,0.0225,0.035,27.04,120.1475,0.3975,103.2775,1496.535,16.2375,99.7825,0.1425,,0.0,0.0,RecipeDB,0
Blue's Lumpia,90.0,30.0,,713.6,10.125,40.61,55.5975,20.585,5.225,1149.87,796.305,1.39,2.3475,5423.2225,4.9975,75.95,3.5275,,200.7225,3.42,RecipeDB,0
Mango Relish,,,,17.3075,3.8475,0.7075,0.1325,0.0225,0.0475,4.0025,163.695,0.9975,2.22,540.5325,9.245,10.3525,0.205,,0.0,0.0,RecipeDB,0
Pandesal,30.0,15.0,,922.3825,160.9725,23.2575,20.335,13.4675,1.9475,290.8,342.95,4.6,44.1675,150.97,0.0,174.735,2.6425,,9.15,0.0,RecipeDB,0
Hot Ube Pandesal (Filipino Purple Yam Bread Rolls),25.0,17.0,,686.8175,96.6525,25.475,22.19,4.9175,7.9925,197.92,408.69,5.8625,5.8675,305.385,0.0,283.5125,2.7925,,102.15,0.03,RecipeDB,0
Atsara (Papaya Relish),20.0,10.0,,217.33,53.0775,0.2975,0.075,0.01,0.035,24.955,104.59,0.895,51.44,5345.92,1.8875,20.555,0.1375,,0.0,0.0,RecipeDB,0
Pan De Sal II,120.0,20.0,,406.955,54.075,9.9925,18.58,4.3325,6.6175,368.71,324.22,3.04,43.8175,217.74,0.0,305.2025,1.095,,12.2,0.0,RecipeDB,0
Pan De Sal I,,,,181.9475,16.6625,0.0,13.625,11.1025,0.2175,2.535,0.3325,0.0,16.6325,0.0,0.0,12.015,0.0075,,0.0,0.0,RecipeDB,0
Empanada Dough,,,,120.935,18.78,2.0075,4.7275,0.91,1.755,8.3475,36.015,0.6975,16.655,66.31,0.0,40.11,0.3125,,46.1125,0.0,RecipeDB,0
Lumpia - Filipino Shrimp and Pork Egg Rolls,60.0,30.0,,453.5125,4.49,18.09,39.94,14.1375,4.3675,733.045,443.825,1.035,1.8875,2861.5025,3.47,39.5425,1.1025,,83.915,0.0,RecipeDB,0
Fruit Salad Abalos Style,,,,282.06,22.705,4.21,22.2225,19.1975,0.515,25.1975,466.82,3.9525,13.0775,323.705,8.0775,19.92,1.9775,,0.0,0.0,RecipeDB,0
Lumpia (Shanghai version),60.0,20.0,,727.1575,9.9825,40.4525,57.655,22.2,5.135,1025.8975,889.16,2.18,2.8425,5461.6125,4.42,66.6675,3.7675,,162.4125,3.4,RecipeDB,0
Bitter Melon and Brinjal (Eggplant) Relish,30.0,20.0,,223.445,55.6925,0.68,0.1075,0.02,0.0475,24.9775,141.575,1.255,52.2,5346.54,4.1175,25.2625,0.2175,,0.0,0.0,RecipeDB,0
Pan de Sal - Filipino Bread Rolls,180.0,8.0,,729.975,106.6175,19.7125,24.92,15.075,3.195,212.405,336.6925,4.5975,15.8,389.4025,1.6925,68.63,3.12,,93.0,0.03,RecipeDB,0
Chinky's Bibingka,30.0,10.0,,1181.9925,167.0125,14.985,54.71,40.9425,4.0075,122.3375,1142.3025,8.7125,84.6825,359.3875,47.475,141.84,4.7175,,231.725,0.05,RecipeDB,0
Lumpia Mollica,30.0,45.0,,927.41,5.2875,32.3225,85.49,31.3325,9.91,111.965,696.23,1.2125,0.915,3028.8125,3.135,64.7575,2.23,,167.83,0.0,RecipeDB,0
Filipino Chicken Salad,20.0,30.0,,521.95,29.765,24.825,33.965,6.17,4.655,585.28,578.3425,3.1675,25.615,5668.7425,11.6625,45.9825,1.4025,,91.7125,0.47,RecipeDB,0
Rumaki,20.0,20.0,,335.1425,13.2175,24.985,19.48,6.4375,3.7875,1188.8925,431.735,0.36,11.245,12581.5825,21.9975,19.1025,10.685,,414.3225,0.48,RecipeDB,0
Buko (Young Coconut) Chiller,,,,12.19,3.1475,0.0,0.0,0.0,0.0,1.215,0.0625,0.0,3.1425,0.0,0.0,5.955,0.0,,0.0,0.0,RecipeDB,0
Lumpia,40.0,15.0,,114.245,11.905,2.9825,7.1525,5.625,0.2575,247.6975,523.2025,3.7975,5.0375,2832.94,11.815,45.9025,0.7825,,0.0,0.0,RecipeDB,0
Garlic Rice,5.0,5.0,,738.615,148.96,13.3925,8.035,5.8775,0.4425,9.79,225.53,2.47,0.2525,0.285,0.9925,57.5675,8.0275,,0.0,0.0,RecipeDB,0
Filipino Avocado Milkshake,,,,74.06,12.45,1.925,1.9975,1.1375,0.1175,26.335,82.0175,0.0025,12.5425,98.895,0.49,69.1,0.0225,,6.1,0.0,RecipeDB,0
Singkamas (Jicama) Salad,,,,271.485,64.855,2.65,0.3625,0.08,0.1675,38.29,607.695,15.8925,41.0825,5409.27,63.7825,59.63,2.0275,,0.0,0.0,RecipeDB,0
Traci's Adobo Seasoning,,,,19.165,3.87,0.845,0.5575,0.09,0.2325,23.275,104.12,1.5675,0.3425,1060.125,0.3075,28.6025,1.325,,0.0,0.0,RecipeDB,0
Chinky's Mango Bread,20.0,60.0,,723.265,86.4025,4.3375,43.6925,34.205,1.2175,667.685,287.24,2.065,82.69,1250.8875,38.3575,31.51,0.8175,,93.0,0.03,RecipeDB,0
Siopao (Filipino Steamed Dumplings),45.0,30.0,,1302.4125,151.1025,45.115,55.0975,18.12,11.1575,1151.3625,692.1475,5.505,4.3875,593.8175,6.9175,68.2675,2.705,,141.85,0.65,RecipeDB,0
Meat and Potatoes Lumpia,30.0,30.0,,642.605,6.34,27.6375,57.73,5.2175,15.5425,228.4825,465.95,1.445,0.4225,3678.575,4.9475,27.1625,2.595,,62.3325,1.37,RecipeDB,0
Leyley's Spicy Chicken Adobo Wings,30.0,60.0,,689.19,4.345,62.5225,43.9325,12.0625,8.5875,2039.6225,823.135,0.8,1.4325,129.525,5.37,61.135,2.1075,,377.615,0.83,RecipeDB,0
Coconut Sauce,5.0,20.0,,415.895,58.9325,2.125,21.445,19.015,0.2325,28.8925,309.73,1.9775,56.365,0.0,2.5175,60.0425,1.865,,0.0,0.0,RecipeDB,0
Chicken Adobo,15.0,45.0,,543.11,6.085,114.0325,2.97,0.7475,1.015,1264.4275,1437.9925,0.8375,2.84,567.6025,3.4275,692.9725,8.2875,,283.3325,0.0,RecipeDB,0
Filipino Beef Steak,15.0,20.0,,646.9775,7.785,91.28,26.135,13.105,2.095,969.6875,1160.775,0.8275,2.8375,454.345,3.9175,551.0375,6.6975,,226.665,0.0,RecipeDB,0
Embutido,10.0,60.0,,354.7775,19.905,25.3225,19.335,5.6325,4.14,118.56,453.875,1.68,13.66,1078.53,8.71,44.2625,2.465,,195.0,0.03,RecipeDB,0
Dinengdeng,30.0,20.0,,73.1125,14.22,5.9425,0.7675,0.135,0.32,14.6475,726.5625,3.7875,4.0025,1150.93,64.9275,88.7475,1.4925,,0.0,0.0,RecipeDB,0
Roasted Pork Belly with Crispy Skin,20.0,300.0,,3911.96,21.09,72.8,390.8725,142.5075,41.6975,1663.5375,1822.005,3.9475,10.1,83.0275,11.9,90.905,5.455,,530.71,0.0,RecipeDB,0
Guinataan Chicken Adobo,10.0,55.0,,699.575,11.0675,104.8725,24.1325,19.6925,1.1525,1239.3875,1544.24,2.8175,5.845,510.935,5.945,640.5,8.9675,,255.0,0.0,RecipeDB,0
Pinakbet,30.0,30.0,,297.45,13.04,26.2425,16.455,3.54,2.2,102.635,819.595,4.215,5.5225,1073.105,31.3475,141.5275,2.345,,65.9525,0.18,RecipeDB,0
Barbecued Spareribs,10.0,60.0,,62.79,13.505,1.705,0.2025,0.03,0.105,914.37,252.525,1.6375,9.0975,464.1,10.92,19.575,0.545,,0.0,0.0,RecipeDB,0
Fried Tulingan (Mackerel),10.0,40.0,,232.8575,0.0525,21.155,15.74,3.69,3.795,222.135,360.185,0.0,0.0525,189.445,0.46,26.095,1.8575,,79.3325,0.0,RecipeDB,0
Squash and Coconut Milk Stew,40.0,40.0,,423.2875,20.665,25.3675,28.815,20.0525,4.24,91.9425,550.025,5.455,12.2825,430.69,10.965,168.87,4.08,,91.2325,0.0,RecipeDB,0
Duck Adobo,20.0,135.0,,137.26,7.765,15.98,4.8425,3.16,0.4375,2369.1575,475.865,1.0175,2.1075,43.79,4.645,85.8225,1.625,,22.195,0.0,RecipeDB,0
Filipino Lumpia,60.0,10.0,,449.8575,2.8,30.2375,34.39,13.115,2.79,154.8025,537.86,0.72,1.07,1801.37,5.8025,35.135,2.86,,112.2625,3.4,RecipeDB,0
Grilled Chicken Adobo,15.0,35.0,,1560.4625,9.0525,40.5625,150.84,41.1925,31.03,5430.57,869.585,0.9025,0.595,667.7675,0.9925,71.0075,2.815,,356.7375,3.11,RecipeDB,0
Bitter Melon Stir-Fry,20.0,25.0,,241.59,4.3025,23.185,14.2975,3.4975,1.6175,70.7475,496.0575,0.9975,2.225,526.3225,9.7525,89.4575,1.49,,64.0325,0.0,RecipeDB,0
Pork and Chicken Adobo,,,,420.5875,1.305,58.995,17.3175,6.7325,3.1175,1062.525,714.21,0.1575,0.1025,259.4525,0.4675,194.3025,3.305,,161.55,0.59,RecipeDB,0
Lolah's Chicken Adobo,10.0,70.0,,1606.4225,5.7425,35.4275,160.675,49.455,31.025,1925.5225,561.0025,0.3475,0.1725,666.315,1.4025,42.01,1.795,,356.7375,3.11,RecipeDB,0
Chicken Arroz Caldo (Chicken Rice Porridge),20.0,30.0,,845.5775,45.775,63.4175,43.365,11.06,7.925,2629.485,1182.1975,2.355,3.7525,785.71,6.4125,76.4325,3.5475,,286.5175,0.62,RecipeDB,0
Bopis,15.0,30.0,,369.0425,10.345,20.9575,26.8375,6.795,3.075,601.3225,572.9925,2.05,4.66,8954.9475,18.73,99.9025,7.62,,130.3925,0.0,RecipeDB,0
Chicken Adobo I,15.0,60.0,,88.5725,1.8425,1.505,7.59,5.6725,0.525,894.6725,84.785,0.19,0.145,0.6925,0.9425,23.4125,0.3025,,0.545,0.0,RecipeDB,0
Savory Mussels,20.0,20.0,,376.485,18.7225,40.355,14.745,2.6875,2.7675,2038.0975,1373.0375,1.8625,4.1575,5826.935,26.2225,107.565,11.1925,,73.4875,0.0,RecipeDB,0
Beef Asado,25.0,100.0,,264.2825,9.2925,23.2675,15.3725,6.1225,1.8175,144.57,669.355,1.935,4.1975,778.8825,15.915,41.42,2.77,,79.84,3.11,RecipeDB,0
Chicken with Chicharo (Snow Peas),20.0,20.0,,669.945,13.03,65.5975,37.8575,10.28,7.9,411.3175,1073.9625,2.82,5.125,7816.6775,19.855,201.1625,5.0125,,260.665,0.0,RecipeDB,0
Chicken Adobo II,15.0,30.0,,69.2325,1.0325,1.345,6.8425,0.9425,0.7525,875.7075,72.4025,0.1425,0.07,0.0675,0.2325,6.6825,0.28,,0.0,0.0,RecipeDB,0
Slow Cooker Adobo Chicken with Bok Choy,10.0,485.0,,4055.51,21.5325,90.105,401.255,109.75,82.235,1639.7675,1385.065,2.6325,7.195,3764.05,11.6225,108.1625,4.3175,,951.3,8.29,RecipeDB,0
Salmon Sarciado,10.0,30.0,,348.115,8.665,47.9675,12.7925,1.7575,4.8175,179.3225,867.7125,2.05,4.6925,1225.5125,18.73,297.55,3.805,,159.8325,0.01,RecipeDB,0
Lumpia Rolls,60.0,20.0,,1330.585,5.675,77.1075,108.6225,40.345,9.89,298.955,1424.515,1.6625,3.0275,8747.0225,6.1175,95.955,6.3175,,308.445,6.81,RecipeDB,0
Ginataang Manok (Chicken Cooked in Coconut Milk),10.0,65.0,,516.2125,12.0975,4.3375,53.48,38.83,3.4425,28.545,522.9625,4.1975,6.2125,0.0,5.635,30.705,3.0225,,0.0,0.16,RecipeDB,0
Baked Salmon,20.0,60.0,,84.1225,11.41,3.165,3.8475,0.55,1.6675,17.8625,357.68,3.335,4.25,969.7225,20.41,81.995,1.1625,,0.0,0.0,RecipeDB,0
